Material,Weight(kg),Wall(mm),Old T(s),New T(s),Diff(s),Diff%,Ratio
灰铁(HT),10,5,3.5445,3.8798,0.3353,9.46,1.0946
灰铁(HT),10,10,3.9178,4.6384,0.7206,18.39,1.1839
灰铁(HT),10,15,4.1797,5.3970,1.2173,29.12,1.2912
灰铁(HT),10,20,4.3882,6.1556,1.7674,40.28,1.4028
灰铁(HT),10,25,4.5642,6.9142,2.3500,51.49,1.5149
灰铁(HT),10,30,4.7181,7.6728,2.9547,62.62,1.6262
灰铁(HT),10,50,5.2026,10.7072,5.5046,105.81,2.0581
灰铁(HT),20,5,4.7910,5.4868,0.6958,14.52,1.1452
灰铁(HT),20,10,5.2614,6.5596,1.2983,24.68,1.2468
灰铁(HT),20,15,5.5913,7.6325,2.0411,36.51,1.3651
灰铁(HT),20,20,5.8540,8.7053,2.8513,48.71,1.4871
灰铁(HT),20,25,6.0758,9.7781,3.7023,60.93,1.6093
灰铁(HT),20,30,6.2697,10.8509,4.5812,73.07,1.7307
灰铁(HT),20,50,6.8801,15.1422,8.2621,120.09,2.2009
灰铁(HT),50,5,7.1701,8.6754,1.5054,21.00,1.2100
灰铁(HT),50,10,7.8084,10.3717,2.5633,32.83,1.3283
灰铁(HT),50,15,8.2562,12.0680,3.8117,46.17,1.4617
灰铁(HT),50,20,8.6127,13.7643,5.1515,59.81,1.5981
灰铁(HT),50,25,8.9138,15.4605,6.5468,73.45,1.7345
灰铁(HT),50,30,9.1769,17.1568,7.9799,86.96,1.8696
灰铁(HT),50,50,10.0054,23.9420,13.9366,139.29,2.3929
灰铁(HT),100,5,9.7611,12.2689,2.5078,25.69,1.2569
灰铁(HT),100,10,10.5654,14.6678,4.1024,38.83,1.3883
灰铁(HT),100,15,11.1296,17.0667,5.9372,53.35,1.5335
灰铁(HT),100,20,11.5787,19.4656,7.8869,68.12,1.6812
灰铁(HT),100,25,11.9580,21.8645,9.9065,82.84,1.8284
灰铁(HT),100,30,12.2896,24.2634,11.9739,97.43,1.9743
灰铁(HT),100,50,13.3333,33.8590,20.5257,153.94,2.5394
灰铁(HT),200,5,13.3268,17.3508,4.0241,30.20,1.3020
灰铁(HT),200,10,14.3401,20.7434,6.4033,44.65,1.4465
灰铁(HT),200,15,15.0510,24.1360,9.0850,60.36,1.6036
灰铁(HT),200,20,15.6169,27.5285,11.9117,76.27,1.7627
灰铁(HT),200,25,16.0948,30.9211,14.8263,92.12,1.9212
灰铁(HT),200,30,16.5125,34.3137,17.8012,107.80,2.0780
灰铁(HT),200,50,17.8276,47.8839,30.0563,168.59,2.6859
灰铁(HT),450,5,19.2509,26.0263,6.7754,35.20,1.3520
灰铁(HT),450,10,20.5787,31.1151,10.5364,51.20,1.5120
灰铁(HT),450,15,21.5102,36.2040,14.6938,68.31,1.6831
灰铁(HT),450,20,22.2517,41.2928,19.0411,85.57,1.8557
灰铁(HT),450,25,22.8779,46.3816,23.5037,102.74,2.0274
灰铁(HT),450,30,23.4253,51.4705,28.0452,119.72,2.1972
灰铁(HT),450,50,25.1486,71.8259,46.6773,185.61,2.8561
灰铁(HT),500,5,20.1985,8.5355,-11.6629,-57.74,0.4226
灰铁(HT),500,10,21.5738,10.2040,-11.3698,-52.70,0.4730
灰铁(HT),500,15,22.5385,11.8724,-10.6661,-47.32,0.5268
灰铁(HT),500,20,23.3066,13.5409,-9.7657,-41.90,0.5810
灰铁(HT),500,25,23.9552,15.2093,-8.7459,-36.51,0.6349
灰铁(HT),500,30,24.5221,16.8777,-7.6444,-31.17,0.6883
灰铁(HT),500,50,26.3070,23.5515,-2.7555,-10.47,0.8953
球铁(QT),10,5,3.0128,6.5775,3.5647,118.32,2.1832
球铁(QT),10,10,3.3301,8.4433,5.1132,153.54,2.5354
球铁(QT),10,15,3.5527,8.4433,4.8906,137.66,2.3766
球铁(QT),10,20,3.7299,8.4433,4.7134,126.37,2.2637
球铁(QT),10,25,3.8796,8.4433,4.5637,117.63,2.1763
球铁(QT),10,30,4.0104,9.3920,5.3816,134.19,2.3419
球铁(QT),10,50,4.4222,9.3920,4.9698,112.38,2.1238
球铁(QT),20,5,4.0724,9.3020,5.2297,128.42,2.2842
球铁(QT),20,10,4.4722,11.9406,7.4684,167.00,2.6700
球铁(QT),20,15,4.7526,11.9406,7.1880,151.24,2.5124
球铁(QT),20,20,4.9759,11.9406,6.9647,139.97,2.3997
球铁(QT),20,25,5.1644,11.9406,6.7762,131.21,2.3121
球铁(QT),20,30,5.3293,13.2822,7.9530,149.23,2.4923
球铁(QT),20,50,5.8481,13.2822,7.4341,127.12,2.2712
球铁(QT),50,5,6.0946,14.7078,8.6133,141.33,2.4133
球铁(QT),50,10,6.6372,18.8798,12.2426,184.45,2.8445
球铁(QT),50,15,7.0178,18.8798,11.8619,169.03,2.6903
球铁(QT),50,20,7.3208,18.8798,11.5589,157.89,2.5789
球铁(QT),50,25,7.5767,18.8798,11.3030,149.18,2.4918
球铁(QT),50,30,7.8004,21.0011,13.2007,169.23,2.6923
